SKU,Length,Width,Height,URL
BK-1HDV,16,10,7.25,https://www.nefal.tv/de/porta-brace-bk-1hdv/
BK-2NR,12,8,17.75,https://www.nefal.tv/de/porta-brace-bk-2nr/
CAR-1B,14.3,9,7.3,https://www.nefal.tv/de/porta-brace-car-1b/
CAR-2B,18,10,8,https://www.nefal.tv/de/porta-brace-car-2b-cargo-case-black/
CAR-2CAM,17,9,7.5,https://www.nefal.tv/de/porta-brace-car-2cam/
CAR-3B,21,8,10,https://www.nefal.tv/de/porta-brace-car-3b-cargo-case-black/
CAR-3CAM,21.8,9,9,https://www.nefal.tv/de/porta-brace-car-3cam/
CAR-3CAMOR,22,9.5,11,https://www.nefal.tv/de/detail/018a1c7e4d057afabcc79a78fa61fa6d
CAR-3CAMT,22,9.5,11,https://www.nefal.tv/de/porta-brace-car-3camt/
CAR-4CAM,22,9.5,11,https://www.nefal.tv/de/porta-brace-car-4cam/
CAR-4CAMOR,22,9.5,11,https://www.nefal.tv/de/porta-brace-car-4camor/
CC-3ENGOR,22,9.5,11,https://www.nefal.tv/de/porta-brace-cc-3engor/
CC-HD1,21,8,10,https://www.nefal.tv/de/porta-brace-cc-hd1-quick-draw-camera-case/
CS-DV1R,21,8,10,https://www.nefal.tv/de/porta-brace-cs-dv1r/
CS-DV3R,18,8.5,7,https://www.nefal.tv/de/detail/f09c8af6bd694652826199ee6ad78c0b
CS-DV4R,21.5,10,8,https://www.nefal.tv/de/detail/926787615d0843baafcae8d9eac3dfe1
DVO-1R,17,8.5,7,https://www.nefal.tv/de/porta-brace-dvo-1r-dvo-1u-dv-organizer-dvo-1r-rot/
DVO-2R,18,10,9,https://www.nefal.tv/de/porta-brace-dvo-2r/
DVO-3R,18.5,12,9.5,https://www.nefal.tv/de/porta-brace-dvo-3r/
GRIP-1B,18.7,9.5,7,https://www.nefal.tv/de/porta-brace-grip-1b/
GRIP-2B,20.1,13,11.5,https://www.nefal.tv/de/porta-brace-grip-2b/
GRIP-3BOR,29.5,13,11.5,https://www.nefal.tv/de/porta-brace-grip-3bor/
HK-12BOR,30,13,6,https://www.nefal.tv/de/porta-brace-hk-12bor/
LB-1B,13,7,7,https://www.nefal.tv/de/porta-brace-lb-1b-lens-bag-carrying-case-black/
MB-LIGHT,,,,https://www.nefal.tv/de/porta-brace-mb-light/
RB-1B,18,9.5,7,https://www.nefal.tv/de/porta-brace-rb-1b/
RB-2B,21,9.5,7,https://www.nefal.tv/de/porta-brace-rb-2b/
RB-3B,25,9.5,7,https://www.nefal.tv/de/porta-brace-rb-3b/
TLQB-39XT,39,9,8,https://www.nefal.tv/de/porta-brace-tlqb-39xt/
TLQB-41XT,41,9,8,https://www.nefal.tv/de/porta-brace-tlqb-41xt/
TLQB-46XTOR,46,10,,https://www.nefal.tv/de/porta-brace-tlqb-46xtor/
WPC-1ORB,20.5,10.5,7,https://www.nefal.tv/de/porta-brace-wpc-1orb/
WPC-2ORB,20.5,10.5,7,https://www.nefal.tv/de/porta-brace-wpc-2orb-wheeled-production-case-black/
WPC-3ORB,36,13,9.5,https://www.nefal.tv/de/porta-brace-wpc-3or-large-wheeled-production-case/
WRB-3ORB,39,12,12,https://www.nefal.tv/de/porta-brace-wrb-3orb-kameratasche-mit-rollen/
