Product,Length,Width,Height,URL,Image
BK-1HDV,16,10,7.25,https://www.nefal.tv/de/porta-brace-bk-1hdv/,https://static.wixstatic.com/media/198a64_a8ea0b60eaf646a5b253c26369ccb510~mv2.jpg
CAR-1,13,8,10,https://www.nefal.tv/en/porta-brace-car-1-cargo-case-blue/,https://static.wixstatic.com/media/198a64_e155744042a043e5bb03525a50331389~mv2.gif
CAR-2,18,8,10,https://www.nefal.tv/en/porta-brace-car-2/,https://static.wixstatic.com/media/198a64_e155744042a043e5bb03525a50331389~mv2.gif
CAR-2B,18,8,10,https://www.nefal.tv/de/porta-brace-car-2b-cargo-case-black/,https://static.wixstatic.com/media/198a64_597e076be8d14275a368d5234685294c~mv2.jpg
CAR-2CAM,17,7.5,9,https://www.nefal.tv/de/porta-brace-car-2cam/,https://static.wixstatic.com/media/198a64_963644e06342471cb3c071e94649b59a~mv2.jpg
CAR-2CAMC,17,6.5,9.5,https://www.nefal.tv/en/porta-brace-car-2camc/,https://static.wixstatic.com/media/198a64_ef5a28e5238b4466ac8cf1959b640c28~mv2.gif
CAR-2CAMR,17,7.5,9,https://www.nefal.tv/en/porta-brace-car-2camr/,https://static.wixstatic.com/media/b7e951_6b913682e64c4bb4b22cf302c181e2d9~mv2.jpg
CAR-2CAMS,17,6.5,9.5,https://www.nefal.tv/en/porta-brace-car-2cams/,https://static.wixstatic.com/media/198a64_b50c3df8c31148328b11b70964752b65~mv2.png
CAR-3,21,8,10,https://www.nefal.tv/en/porta-brace-car-3-cargo-case/,https://static.wixstatic.com/media/198a64_ebb8139ba305439b9f05a1a654b21bdc~mv2.png
CAR-3B,21,8,10,https://www.nefal.tv/de/porta-brace-car-3b-cargo-case-black/,https://static.wixstatic.com/media/198a64_f9c7c79090ac488093734564ce3fb15d~mv2.jpg
CAR-3CAM,21.8,9,9,https://www.nefal.tv/de/porta-brace-car-3cam/,https://static.wixstatic.com/media/b7e951_f63ebc9711ce464aac1600a0ec46cafe~mv2.jpg
CAR-3CAMOR,22,9.5,11,https://www.nefal.tv/de/detail/018a1c7e4d057afabcc79a78fa61fa6d,https://static.wixstatic.com/media/b7e951_6f5d35b59efb4983886ea825857b9605~mv2.jpg
